# Samsung SM-S928B (e3q) ZZHL vendor-DLKM KMI CRC compatibility baseline
# Firmware: S928BXXU6ZZHL; stock kernel: 6.1.162-android14-11-34343818-abS928BXXU6ZZHL
# Extracted from supplied vendor_dlkm.new.dat (SHA-256 65840e49d5980d21dcb0db4732e1acc10116fd2169e98e79927c7f5ded19f7b2).
# All 2469 retained DZH2 strict symbols have identical ZZHL CRCs; seven
# DZH2-only imports are absent. ZZHL has 1642 additional
# vendor-internal imports outside this kernel-facing strict set.
# ZZHL vendor_boot validation: 411 modules, 2139 strict baseline-overlap symbols.
# Scope: all retained kernel-facing ZZHL vendor-DLKM imports in the proven strict set.
# Device audit: 0 internal CRC conflicts across 351 vendor_dlkm modules.
# 1675 exact CRCs; 794 known Samsung/GKI CRC differences require the audited strict repair.
# symbol	device_crc	validated_build_crc	modules
__check_object_size	0x88db9f48	0x88db9f48	audio_pkt_dlkm;camera;cnss_utils;coresight_tmc;coresight_tmc_sec;dev_ril_bridge;dmesg_dumper;frpc_adsprpc;glink_pkt;gsim;input_cs40l26_i2c;ipam;kperfmon;mhi_dev_uci;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;msm_video;nb7vpq904m;nfc_nxp_sec;pci_msm_drv;pdic_max77705;pdic_notifier_module;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_iommu_debug;qcom_stats;qseecom_dlkm;radio_i2c_rtc6226_qca;rdbg;sec_battery;sec_common_fn;sec_qc_user_reset;sec_rdx_bootdev;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_debug_proc;snd_soc_cs35l45_i2c;snd_soc_wm_adsp;snvm;spcom;sps_drv;spss_utils;stm_core;swr_ctrl_dlkm;sync_fence;synx_driver;thermal_config;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;uwb;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wsa883x_dlkm;wsa884x_dlkm
__class_create	0x13f8371b	0x13f8371b	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;bt_fm_slim;btpower;camera;coresight_tmc;coresight_tmc_sec;fingerprint;fingerprint_sysfs;frpc_adsprpc;glink_pkt;health_monitor;input_booster_lkm;ipam;lcd;mhi_dev_uci;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;pdic_max77705;pmic_class;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_ramdump;qcom_stats;qrng_dlkm;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;sec_audio_sysfs;sec_switch_class;sec_vibrator_inputff_module;sensors_core;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_soc_cirrus_amp;spcom;sps_drv;spss_utils;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_gsi;usb_notify_layer;vibrator_vib_info
__class_register	0x290df2c0	0x290df2c0	cfg80211;hwmon;msm_drm;qti_qmi_ss_cdev;stm_core
__clk_get_name	0xc569d8ce	0xc569d8ce	msm_drm
__clk_is_enabled	0xc6a4a872	0xc6a4a872	lpass_cdc_dlkm;msm_drm;msm_eva;msm_kgsl;msm_video;spf_core_dlkm
__const_udelay	0xeae3dfd6	0xeae3dfd6	cnss2;coresight;coresight_tmc;dwc3_msm;eud;frpc_adsprpc;i2c_msm_geni;i3c_master_msm_geni;ipam;ipclite_test;leds_qti_flash;mhi;msm_drm;msm_geni_serial;msm_gpi;msm_kgsl;nb7vpq904m;pci_msm_drv;pdic_max77705;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qce50_dlkm;qcom_q6v5_pas;qcom_stats;qrng_dlkm;sdhci_msm_sec;smsc75xx;smsc95xx;spi_msm_geni;spmi_pmic_arb_debug;ubwcp;wcd938x_dlkm;wcd939x_dlkm;wez02
__copy_overflow	0x7682ba4e	0x7682ba4e	camera;ipam;kperfmon;msm_drm;msm_hw_fence;pdic_notifier_module;qca_cld3_kiwi_v2;radio_i2c_rtc6226_qca;sec_battery;sg;spcom;swr_ctrl_dlkm;synx_driver;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wsa883x_dlkm;wsa884x_dlkm
__cpu_active_mask	0x15db3b99	0x15db3b99	qcom_lpm
__cpu_online_mask	0xac594e02	0xac594e02	bam_dma;bwmon;bwprof;camera;cfg80211;cpucp_log;frpc_adsprpc;glink_probe;gsim;hwmon;i2c_msm_geni;i3c_master_msm_geni;ipam;mac80211;memlat;msm_drm;msm_geni_serial;msm_kgsl;msm_memshare;msm_performance;msm_video;qca_cld3_kiwi_v2;qcom_lpm;qcom_q6v5;qcom_q6v5_pas;qcom_sysmon;qsee_ipc_irq_bridge;rmnet_core;rmnet_shs;rproc_qcom_common;slim_qcom_ngd_ctrl;smcinvoke_dlkm;spi_msm_geni;ssg;ubwcp
__cpu_possible_mask	0xde7ece30	0xde7ece30	blk_sec_stats;c1dcvs_scmi_v2;core_hang_detect;cpu_voltage_cooling;cpufreq_limit;frpc_adsprpc;gh_rm_booster;mac80211;machine_dlkm;memlat;msm_drm;msm_eva;msm_lmh_dcvs;msm_performance;qca_cld3_kiwi_v2;qcom_cpuss_sleep_stats;qcom_glink;qcom_lpm;qti_cpufreq_cdev;rmnet_core;rmnet_shs;sdhci_msm_sec;ssg;stm_ftrace
