# Samsung SM-S928B (e3q) ZZHL vendor-DLKM KMI CRC compatibility baseline
# Firmware: S928BXXU6ZZHL; stock kernel: 6.1.162-android14-11-34343818-abS928BXXU6ZZHL
# Extracted from supplied vendor_dlkm.new.dat (SHA-256 65840e49d5980d21dcb0db4732e1acc10116fd2169e98e79927c7f5ded19f7b2).
# All 2469 retained DZH2 strict symbols have identical ZZHL CRCs; seven
# DZH2-only imports are absent. ZZHL has 1642 additional
# vendor-internal imports outside this kernel-facing strict set.
# ZZHL vendor_boot validation: 411 modules, 2139 strict baseline-overlap symbols.
# Scope: all retained kernel-facing ZZHL vendor-DLKM imports in the proven strict set.
# Device audit: 0 internal CRC conflicts across 351 vendor_dlkm modules.
# 1675 exact CRCs; 794 known Samsung/GKI CRC differences require the audited strict repair.
# symbol	device_crc	validated_build_crc	modules
dev_addr_mod	0x08cfab32	0x15adfd6b	ipam;mac80211;qca_cld3_kiwi_v2;smsc75xx;smsc95xx;wonder
dev_alloc_name	0xf1291097	0x594c57e0	mac80211;qca_cld3_kiwi_v2
dev_close	0x30a3c21b	0xf87254fc	cfg80211;mac80211;qca_cld3_kiwi_v2
dev_coredumpm	0xb66f0370	0xb66f0370	msm_drm;qcom_ramdump
dev_coredumpv	0x253fb312	0x253fb312	msm_video;rproc_qcom_common
dev_driver_string	0x992067ae	0x77867237	drm_display_helper;dwc3_msm;i2c_msm_geni;i3c_master_msm_geni;ipam;mhi;mhi_dev_satellite;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;qca_cld3_kiwi_v2;qce50_dlkm;qcom_iommu_debug;s2dos05_regulator;s2dos07;s2mpb02_regulator;s2mpb03;sec_common_fn;spi_msm_geni;stm_ts_spi;synaptics_ts_spi;wez02
dev_err_probe	0x84311b34	0x0efaca72	drm_dp_aux_bus;msm_kgsl;phy_generic;qti_fixed_regulator;sdhci_msm_sec;slim_qcom_ngd_ctrl;smsc
dev_fetch_sw_netstats	0xa1051fd8	0xa1051fd8	mac80211
dev_fwnode	0xc473d041	0xc473d041	coresight;coresight_cti;coresight_funnel;coresight_replicator;coresight_stm;dwc3_msm
dev_get_by_index	0xb5783cb2	0x68d703e6	cfg80211;rmnet_aps
dev_get_by_name	0xa9d5e9c6	0xbfbdd992	rmnet_core;rmnet_perf_tether;rmnet_wlan;usb_f_gsi;wonder
dev_get_by_name_rcu	0x659759fa	0x5c637061	rmnet_wlan
dev_get_regmap	0x100b434b	0x0fa5f714	leds_qpnp_vibrator_ldo;leds_qti_flash;leds_qti_tri_led;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;lpass_cdc_tx_macro_dlkm;lpass_cdc_va_macro_dlkm;lpass_cdc_wsa2_macro_dlkm;lpass_cdc_wsa_macro_dlkm;pinctrl_spmi_gpio;pinctrl_spmi_mpp;pm8941_pwrkey;pwm_qti_lpg;qcom_pm8008_regulator;qcom_pon;qcom_spmi_adc5_gen3;qcom_spmi_temp_alarm;qcom_spmi_wled;qpnp_amoled_regulator;qpnp_lcdb_regulator;qti_amoled_ecm;swr_dlkm
dev_get_stats	0x6ee4ba67	0x7f0a61ec	usb_f_gsi
dev_get_tstats64	0x2aeaf871	0x9ef93612	smsc75xx;smsc95xx
dev_open	0x0b48e272	0xcc5b69a5	qca_cld3_kiwi_v2
dev_pm_clear_wake_irq	0x01e7ead9	0x01e7ead9	qcom_q6v5_pas;smp2p
dev_pm_domain_attach	0x6ed7fc4f	0x6ed7fc4f	drm_dp_aux_bus
dev_pm_domain_attach_by_id	0x3292651b	0x3292651b	dwc3_msm;phy_msm_snps_eusb2;phy_msm_ssusb_qmp
dev_pm_domain_attach_by_name	0xb54a126d	0xb54a126d	msm_video;qcom_q6v5_pas
dev_pm_domain_detach	0xbd56661e	0xbd56661e	drm_dp_aux_bus;dwc3_msm;msm_video;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;qcom_q6v5_pas
dev_pm_genpd_add_notifier	0x6092de0f	0x006baa93	qcom_lpm
dev_pm_genpd_remove_notifier	0xc9488ec4	0x47a2f853	qcom_lpm
dev_pm_genpd_set_next_wakeup	0x8567beb2	0xef903f7b	qcom_lpm
dev_pm_genpd_set_performance_state	0x81bb593b	0x1fc2e4b7	qcom_q6v5_pas;qti_fixed_regulator
dev_pm_opp_add	0xe7184297	0xcf6e98cd	msm_kgsl
dev_pm_opp_clear_config	0x32295715	0x32295715	sdhci_msm_sec
dev_pm_opp_find_freq_ceil	0xa04c730f	0xd8fbc01a	camera;cpu_voltage_cooling;msm_lmh_dcvs;msm_video
dev_pm_opp_find_freq_exact	0x0646177d	0xd87db95a	msm_kgsl
dev_pm_opp_find_freq_floor	0x8229b3d9	0xef8ce081	msm_lmh_dcvs;msm_video;qti_devfreq_cdev
dev_pm_opp_get_opp_count	0x738e5f33	0xddd38e4a	cpu_voltage_cooling;msm_kgsl;qti_devfreq_cdev
dev_pm_opp_get_voltage	0x617211ff	0xd8dfc724	camera;cpu_voltage_cooling;msm_kgsl
dev_pm_opp_of_add_table	0x2d3b704e	0x2d3b704e	sdhci_msm_sec
dev_pm_opp_of_find_icc_paths	0xe197a401	0xe197a401	sdhci_msm_sec
dev_pm_opp_of_remove_table	0x04bb325e	0x04bb325e	sdhci_msm_sec
dev_pm_opp_put	0x628882fb	0xdb255420	cpu_voltage_cooling;msm_kgsl;msm_video;qti_devfreq_cdev
dev_pm_opp_remove_all_dynamic	0x94de810f	0x3a835076	msm_kgsl
dev_pm_opp_set_config	0xf91199eb	0xba855354	sdhci_msm_sec
dev_pm_opp_set_rate	0x4c8387a4	0x4e782c96	msm_video;sdhci_msm_sec
dev_pm_qos_add_notifier	0x6237e7ff	0x82cf8721	msm_kgsl;qca_cld3_kiwi_v2;qcom_lpm
dev_pm_qos_add_request	0x26710003	0x14e497b5	cdsprm;frpc_adsprpc;machine_dlkm;msm_drm;msm_eva;msm_kgsl;qca_cld3_kiwi_v2;qti_devfreq_cdev;sdhci_msm_sec
dev_pm_qos_remove_notifier	0xce2252ae	0x2eda3270	msm_kgsl;qca_cld3_kiwi_v2;qcom_lpm
dev_pm_qos_remove_request	0xc3fc2baa	0xdbb28555	frpc_adsprpc;machine_dlkm;msm_drm;msm_eva;msm_kgsl;qca_cld3_kiwi_v2;qti_devfreq_cdev;sdhci_msm_sec
dev_pm_qos_update_request	0x279988b8	0x65b4df45	cdsprm;frpc_adsprpc;machine_dlkm;msm_drm;msm_eva;msm_kgsl;qca_cld3_kiwi_v2;qti_devfreq_cdev;sdhci_msm_sec
dev_pm_set_wake_irq	0x8450624c	0x8450624c	qcom_q6v5_pas;smp2p
dev_set_name	0x0784f05c	0x7e7317ce	audio_pkt_dlkm;bt_fm_slim;camera;cfg80211;cnss2;coresight;drm_dp_aux_bus;frpc_adsprpc;glink_pkt;gpr_dlkm;hwmon;input_booster_lkm;ipclite;lcd;mhi;msm_kgsl;qcom_glink_smem;qcom_glink_spss;qcom_smd;slimbus;swr_dlkm;usb_f_cdev
devfreq_add_device	0x7ea982d2	0x70ea0934	msm_kgsl
devfreq_add_governor	0xa1de781d	0x5680258b	msm_kgsl
devfreq_cooling_unregister	0x38dd7eaa	0x38dd7eaa	msm_kgsl
devfreq_get_devfreq_by_node	0x71f26aba	0x0e2e3637	qti_devfreq_cdev
devfreq_remove_device	0x60ecad3d	0x7e765d1d	msm_kgsl
devfreq_remove_governor	0xe9ff59fd	0x1ea1046b	msm_kgsl
devfreq_resume_device	0xbfc01b5d	0xa15aeb7d	msm_kgsl
devfreq_suspend_device	0xf894254b	0xe60ed56b	msm_kgsl
device_add	0xc47219a9	0x2ad40c30	cfg80211;cnss2;glink_pkt;mhi;stm_core
device_add_groups	0x74fd2cab	0x16c2a974	qcom_glink
device_attach	0x12610f4d	0x12610f4d	usb_notify_layer
device_create	0x6bc6324b	0x27e89939	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;bt_fm_slim;btpower;camera;coresight_tmc;coresight_tmc_sec;fingerprint;fingerprint_sysfs;frpc_adsprpc;health_monitor;input_booster_lkm;ipam;mhi_dev_uci;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;pdic_max77705;pmic_class;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_ramdump;qcom_stats;qfs4008_spidev;qrng_dlkm;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;sec_audio_sysfs;sec_switch_class;sec_vibrator_inputff_module;sensors_core;sg;smcinvoke_dlkm;smmu_proxy_dlkm;snd_soc_cirrus_amp;spcom;sps_drv;spss_utils;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_gsi;usb_notify_layer;vibrator_vib_info
device_create_file	0xe25f59ab	0x2cb32a7b	abc_hub;btpower;camera;fingerprint_sysfs;glink_pkt;hdm;i2c_msm_geni;i3c_master_msm_geni;max77705_charger;max77705_fuelgauge;max77775_charger;max77775_fuelgauge;msm_drm;msm_geni_serial;msm_kgsl;msm_lmh_dcvs;nu1668_charger;pci_msm_drv;qca_cld3_kiwi_v2;qcom_q6v5_pas;s2dos05_regulator;s2dos07;s2mpb02_regulator;s2mpb03;sb_core;sdhci_msm_sec;sec_abc_detect_conn;sec_battery;sec_switch_class;sensors_core;spi_msm_geni;spss_utils;sys_pm_vx;usb_f_conn_gadget;usb_f_ss_mon_gadget
device_create_with_groups	0xa2675780	0x4f41c147	msm_drm
device_del	0x9a53602b	0x74f575b2	cfg80211;cnss2;mhi;snd_soc_cirrus_amp
device_destroy	0xc2569e41	0xb12de4c1	adsp_sleepmon;audio_pkt_dlkm;audpkt_ion_dlkm;coresight_tmc;coresight_tmc_sec;fingerprint;frpc_adsprpc;ipam;mhi_dev_uci;msm_drm;msm_eva;msm_kgsl;nfc_nxp_sec;pdic_max77705;pmic_class;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_stats;qfs4008_spidev;qrng_dlkm;qsee_ipc_irq_bridge;qseecom_dlkm;rdbg;sec_audio_sysfs;sec_switch_class;sec_vibrator_inputff_module;sensors_core;sg;smcinvoke_dlkm;spcom;sps_drv;spss_utils;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_conn_gadget;usb_f_gsi;usb_notify_layer;vibrator_vib_info
device_find_child	0x07583eb2	0x40e31293	msm_drm;msm_kgsl;slimbus
device_for_each_child	0xe22fac99	0x9509308f	gpr_dlkm;mhi;qcom_glink;qcom_smd;slim_qcom_ngd_ctrl;slimbus;swr_dlkm
device_for_each_child_reverse	0x7d20bee7	0x0a0622f1	drm_dp_aux_bus
device_get_child_node_count	0xd337280d	0xd337280d	input_cs40l26_i2c
device_get_match_data	0xf1b58a74	0xf1b58a74	pinctrl_spmi_gpio;qcom_cpuss_sleep_stats;qcom_stats
device_get_next_child_node	0xe570c27d	0xe570c27d	input_cs40l26_i2c
device_initialize	0x554e3ff5	0xbbe82a6c	cfg80211;cnss2;glink_pkt;mhi;stm_core;usb_f_cdev
device_link_add	0x17336304	0xfcdff0d4	msm_kgsl
device_match_fwnode	0x18ab672f	0x94782c7c	coresight
device_match_name	0x4291b3e0	0xce42f8b3	msm_kgsl;sec_qc_qcom_wdt_core;stm_core
device_property_present	0xd4b590ed	0xd4b590ed	dwc3_msm;hwmon;input_cs40l26_i2c
device_property_read_string	0x4f49d69f	0x4f49d69f	coresight_tmc;hwmon;input_cs40l26_i2c
device_property_read_u32_array	0x752e64c4	0x752e64c4	coresight_cti;i3c_master_msm_geni;input_cs40l26_i2c
device_property_read_u8_array	0x993d17a3	0x993d17a3	phy_msm_snps_eusb2
device_register	0x0fa063de	0xe1067647	camera;coresight;drm_dp_aux_bus;frpc_adsprpc;gpr_dlkm;hwmon;input_booster_lkm;ipclite;lcd;msm_kgsl;qcom_glink_smem;qcom_glink_spss;qcom_smd;slimbus;swr_dlkm
device_remove_file	0x17678b2a	0xd98bf8fa	abc_hub;camera;fingerprint_sysfs;i2c_msm_geni;max77705_charger;max77775_charger;msm_drm;msm_geni_serial;msm_kgsl;nu1668_charger;qca_cld3_kiwi_v2;qcom_q6v5_pas;s2dos05_regulator;s2dos07;s2mpb02_regulator;s2mpb03;sb_core;sec_battery;sec_switch_class;sensors_core;spi_msm_geni;spss_utils;sys_pm_vx;usb_f_ss_mon_gadget
device_rename	0x7033f9f3	0xfce0b2a0	cfg80211
device_set_wakeup_capable	0x490c3055	0x0bd24a41	cnss2;dwc3_msm;eud;fingerprint;flicker_sensor;hall_ic;mfd_max77705;mfd_max77775;mfd_s2mpb02;mhi;nu1668_charger;pm8941_pwrkey;qcom_q6v5_pas;qcom_spss;s2dos07;smp2p;swr_ctrl_dlkm;uwb;wcd_usbss_i2c
device_set_wakeup_enable	0xbea999aa	0xfc77e3be	smsc75xx;smsc95xx
device_show_int	0x7fdafadd	0x5ffd4b45	msm_kgsl
device_store_int	0xc054eae6	0x66ae95e0	msm_kgsl
device_unregister	0xd6b17cf1	0x38176968	coresight;drm_dp_aux_bus;frpc_adsprpc;gpr_dlkm;hwmon;input_booster_lkm;ipclite;lcd;msm_drm;msm_kgsl;qcom_glink;qcom_glink_smem;qcom_ramdump;qcom_smd;slimbus;stm_core;swr_dlkm
device_wakeup_disable	0x1c7ea990	0x93574608	cnss2;dwc3_msm;eud;fingerprint;flicker_sensor;hall_ic;mfd_max77705;mfd_max77775;mfd_s2mpb02;qcom_q6v5_pas;qcom_spss;s2dos07;swr_ctrl_dlkm;uwb;wcd_usbss_i2c
device_wakeup_enable	0x088b197f	0x87a2f6e7	cnss2;dwc3_msm;eud;fingerprint;hall_ic;mfd_max77705;mfd_max77775;mfd_s2mpb02;mhi;nu1668_charger;pm8941_pwrkey;qcom_q6v5_pas;qcom_spss;s2dos07;swr_ctrl_dlkm;uwb;wcd_usbss_i2c
devm_add_action	0xe6fe2896	0xe6fe2896	drm_dp_aux_bus;hwmon;msm_video;sec_common_fn
devm_backlight_device_register	0x55da2bd9	0x3efad223	drm_display_helper;qcom_spmi_wled
devm_bitmap_zalloc	0x4c4bbe27	0x4c4bbe27	coresight_stm
devm_clk_bulk_get	0xeef0516b	0xeef0516b	msm_drm
devm_clk_bulk_get_all	0xd9130cf3	0xd9130cf3	msm_kgsl;pci_msm_drv
devm_clk_get	0xa25d3c67	0xa25d3c67	bam_dma;btpower;camera;cnss2;coresight_csr;coresight_funnel;coresight_hwevent;coresight_replicator;coresight_stm;coresight_tmc_sec;coresight_tpdm;debugcc_cliffs;debugcc_pineapple;debugcc_volcano;dwc3_msm;eud;i2c_msm_geni;i3c_master_msm_geni;llcc_perfmon;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;lpass_cdc_va_macro_dlkm;machine_dlkm;msm_drm;msm_geni_serial;msm_kgsl;msm_video;phy_generic;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;pinctrl_lpi_dlkm;qcom_q6v5_pas;qcom_spss;qti_fixed_regulator;sdhci_msm_sec;sec_common_fn;spi_msm_geni;spmi_pmic_arb_debug;swr_ctrl_dlkm;ubwcp
devm_clk_get_optional	0x8d6f4569	0x8d6f4569	bam_dma;phy_msm_snps_eusb2;qcom_q6v5_pas
devm_clk_get_optional_enabled	0xab66b87e	0xab66b87e	smsc
devm_clk_put	0x2f220db3	0x2f220db3	camera;cnss2;msm_drm
devm_clk_register	0x5878b0aa	0xb51d1701	debugcc_cliffs;debugcc_pineapple;debugcc_volcano;msm_drm;wcd9xxx_dlkm
devm_device_add_group	0xa6f886af	0x8682ce66	cnss2;max31760_fan
devm_extcon_dev_allocate	0x791836df	0x791836df	eud;mbhc_dlkm;msm_ext_display
devm_extcon_dev_register	0xd0e76d8f	0xd0e76d8f	eud;mbhc_dlkm;msm_ext_display
devm_extcon_dev_unregister	0x2eb2975a	0x2eb2975a	msm_ext_display
devm_free_irq	0xaa6e7490	0xaa6e7490	bam_dma;gsim;msm_drm;pm8941_pwrkey;qcom_spmi_temp_alarm;sdhci_msm_sec;wcd_core_dlkm
devm_fwnode_pwm_get	0x9029cef2	0xfaa8ab5e	leds_qti_tri_led
devm_gen_pool_create	0x42827a03	0x42827a03	frpc_adsprpc
devm_gpio_request	0x7484dfca	0x7484dfca	wez02
devm_gpio_request_one	0xc4a21586	0xc4a21586	dwc3_msm;fingerprint;leds_qti_flash;sec_common_fn
devm_gpiod_get_optional	0xe17397b0	0xe17397b0	input_cs40l26_i2c;phy_generic;repeater_i2c_eusb2;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c
devm_iio_channel_get	0xf9e3414e	0xf9e3414e	qcom_spmi_temp_alarm;qcom_spmi_wled
devm_iio_device_alloc	0xfb1c3e17	0xfb1c3e17	qcom_spmi_adc5_gen3
devm_input_allocate_device	0x3819137b	0x3819137b	pm8941_pwrkey;sec_common_fn;sec_vibrator_inputff_module;wez02
devm_ioremap	0xfb2db23b	0xfb2db23b	bam_dma;bwmon;bwprof;cnss2;coresight_csr;coresight_funnel;cpucp_log;cpufreq_stats_scmi_v2;dwc3_msm;gsim;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;lpass_cdc_tx_macro_dlkm;lpass_cdc_va_macro_dlkm;lpass_cdc_wsa2_macro_dlkm;lpass_cdc_wsa_macro_dlkm;msm_drm;msm_eva;msm_geni_serial;msm_gpi;msm_hw_fence;msm_kgsl;msm_lmh_dcvs;msm_video;pci_msm_drv;phy_msm_ssusb_qmp;phy_qcom_emu;pinctrl_lpi_dlkm;qcom_cpufreq_hw_debug;qcom_cpuss_sleep_stats;qcom_ramdump;sdhci_msm_sec;slim_qcom_ngd_ctrl;spi_msm_geni;swr_ctrl_dlkm;tz_log_dlkm;wcd_core_dlkm
devm_ioremap_resource	0x39f72cab	0x39f72cab	bam_dma;coresight_cti;coresight_funnel;coresight_replicator;coresight_stm;coresight_tgu;coresight_tmc;coresight_tpda;coresight_tpdm;coresight_trace_noc;eud;i2c_msm_geni;i3c_master_msm_geni;llcc_qcom;msm_kgsl;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;phy_qcom_emu;qcom_q6v5;qcom_spss;sdhci_msm_sec;slim_qcom_ngd_ctrl;spmi_pmic_arb_debug
devm_ioremap_wc	0x58e6491a	0x58e6491a	dmesg_dumper;gh_panic_notifier;ipclite;msm_hw_fence;qcom_q6v5_pas;qcom_spss
devm_iounmap	0x61df24fa	0x61df24fa	gsim;llcc_qcom;msm_drm
devm_kasprintf	0x2d6c1ace	0x2d6c1ace	coresight;coresight_cti;cs_dsp;glink_pkt;msm_geni_serial
devm_kfree	0x8177f433	0x8177f433	abc_hub;adsp_loader_dlkm;camera;cl_dsp;cnss2;coresight;gsim;hwmon;input_cs40l26_i2c;machine_dlkm;msm_drm;msm_eva;msm_ext_display;nu1668_charger;pci_msm_drv;qcedev_mod_dlkm;radio_i2c_rtc6226_qca;reboot_mode;slim_qcom_ngd_ctrl;stm_ts_spi;swr_ctrl_dlkm;wcd938x_dlkm;wcd939x_dlkm;wcd_core_dlkm;wsa884x_dlkm
devm_kmalloc	0xd50f026e	0xd50f026e	abc_hub;adsp_loader_dlkm;at803x;audio_pkt_dlkm;audpkt_ion_dlkm;bam_dma;bcl_soc;btpower;bwmon;bwprof;camera;cdsp_loader;cl_dsp;cnss2;core_hang_detect;coresight;coresight_csr;coresight_cti;coresight_dummy;coresight_funnel;coresight_hwevent;coresight_remote_etm;coresight_replicator;coresight_stm;coresight_tgu;coresight_tmc;coresight_tmc_sec;coresight_tpda;coresight_tpdm;coresight_trace_noc;cpucp_log;cpufreq_limit;cpufreq_stats_scmi_v2;ddr_cdev;dmesg_dumper;drm_display_helper;dwc3_msm;eud;fingerprint;flicker_sensor;frpc_adsprpc;gh_panic_notifier;glink_pkt;glink_probe;gpr_dlkm;gpu_dump_skip_cdev;gsim;hall_ic;hwmon;i2c_msm_geni;i3c_master_msm_geni;input_cs40l26_i2c;ipclite;leds_qpnp_vibrator_ldo;leds_qti_flash;leds_qti_tri_led;llcc_perfmon;llcc_qcom;lpass_cdc_dlkm;lpass_cdc_rx_macro_dlkm;lpass_cdc_tx_macro_dlkm;lpass_cdc_va_macro_dlkm;lpass_cdc_wsa2_macro_dlkm;lpass_cdc_wsa_macro_dlkm;lt9611uxc;lvstest;machine_dlkm;max31760_fan;memlat;mfd_max77705;mfd_max77775;mfd_s2mpb02;mhi_dev_satellite;msm_drm;msm_eva;msm_ext_display;msm_geni_serial;msm_gpi;msm_kgsl;msm_lmh_dcvs;msm_memshare;msm_mmrm;msm_sharedmem;msm_video;nb7vpq904m;nu1668_charger;pca9481_charger;pci_msm_drv;pdic_max77705;pdic_max77775;phy_generic;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;phy_qcom_emu;phy_qcom_ufs_qmp_v4;pinctrl_lpi_dlkm;pinctrl_spmi_gpio;pinctrl_spmi_mpp;pm8941_pwrkey;pmic_pon_log;pwm_qti_lpg;q6_notifier_dlkm;qce50_dlkm;qcedev_mod_dlkm;qcom_cpufreq_hw_debug;qcom_cpuss_sleep_stats;qcom_glink;qcom_glink_smem;qcom_glink_spss;qcom_iommu_debug;qcom_lpm;qcom_pm8008_regulator;qcom_pon;qcom_q6v5_pas;qcom_spmi_adc5_gen3;qcom_spmi_temp_alarm;qcom_spmi_wled;qcom_stats;qfprom_sys;qpnp_amoled_regulator;qpnp_lcdb_regulator;qrtr_mhi;qrtr_smd;qti_amoled_ecm;qti_cpufreq_cdev;qti_devfreq_cdev;qti_fixed_regulator;qti_ocp_notifier;qti_qmi_cdev;qti_qmi_sensor_v2;qti_qmi_ss_cdev;qti_userspace_cdev;radio_i2c_rtc6226_qca;reboot_mode;repeater_i2c_eusb2;s2dos05_regulator;s2dos07;s2mpb02_regulator;s2mpb03;sdhci_msm_sec;sec_abc_detect_conn;sec_ap_pmic;sec_arm64_debug;sec_arm64_fsimd_debug;sec_battery;sec_common_fn;sec_direct_charger;sec_qc_hw_param;sec_qc_qcom_wdt_core;sec_qc_smem;sec_qc_user_reset;sec_rdx_bootdev;sec_reloc_gpio;sec_thermistor;slim_qcom_ngd_ctrl;smp2p;smsc;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c;snd_soc_cs40l26;snd_soc_hdmi_codec;snd_usb_audio_qmi;snvm_plat;spf_core_dlkm;spi_msm_geni;stm_ts_spi;swr_ctrl_dlkm;swr_dmic_dlkm;swr_haptics_dlkm;synaptics_ts_spi;sys_pm_vx;ubwcp;usb_notifier;vibrator_vib_info;wcd938x_dlkm;wcd938x_slave_dlkm;wcd939x_dlkm;wcd939x_slave_dlkm;wcd9xxx_dlkm;wcd_core_dlkm;wcd_usbss_i2c;wez02;wsa883x_dlkm;wsa884x_dlkm
devm_kmemdup	0x9ec5e35d	0x9ec5e35d	msm_kgsl
devm_kstrdup	0x7a08ba5b	0x7a08ba5b	coresight;coresight_cti;hwmon;msm_drm;msm_eva;msm_geni_serial;qcom_spmi_adc5_gen3;qti_amoled_ecm;qti_fixed_regulator;wcd939x_dlkm
devm_led_classdev_flash_register_ext	0x58079d0e	0x58079d0e	leds_qti_flash
devm_led_classdev_register_ext	0x9c6e5a8d	0x9c6e5a8d	leds_qpnp_vibrator_ldo;leds_qti_flash;leds_qti_tri_led;qcom_spmi_wled
devm_mfd_add_devices	0x4453e522	0x762307af	input_cs40l26_i2c
devm_nvmem_cell_get	0xf28fdfd2	0xf28fdfd2	qpnp_amoled_regulator;qti_ocp_notifier;wcd_usbss_i2c
devm_nvmem_device_get	0x159083e3	0x159083e3	leds_qti_tri_led;pmic_pon_log;pwm_qti_lpg;qti_amoled_ecm
devm_of_icc_get	0xd17d3ad9	0xd2954d31	msm_video
devm_of_platform_populate	0x117417f3	0x6002dbb6	qcom_pon
devm_pci_alloc_host_bridge	0x6553ab72	0x6553ab72	pci_msm_drv
devm_pinctrl_get	0x1e78d642	0x1e78d642	camera;cnss2;coresight_cti;fingerprint;flicker_sensor;i3c_master_msm_geni;msm_drm;msm_geni_serial;nfc_nxp_sec;pci_msm_drv;radio_i2c_rtc6226_qca;sec_abc_detect_conn;snvm;spi_msm_geni;stm_ts_spi;synaptics_ts_spi;wcd9xxx_dlkm;wcd_core_dlkm;wcd_usbss_i2c
devm_pinctrl_put	0x1eb56d31	0x1eb56d31	camera;coresight_cti;fingerprint;flicker_sensor;msm_drm;nfc_nxp_sec;sec_abc_detect_conn;wcd9xxx_dlkm;wcd_core_dlkm
devm_pinctrl_register	0x77a33019	0x77a33019	pinctrl_lpi_dlkm;pinctrl_spmi_gpio;pinctrl_spmi_mpp
devm_platform_get_and_ioremap_resource	0xe537bee5	0xe537bee5	qcom_stats
devm_platform_ioremap_resource	0x326cd4ea	0x326cd4ea	msm_video;pcie_pdc;sdhci_msm_sec;ubwcp
devm_platform_ioremap_resource_byname	0x43daf40e	0x43daf40e	llcc_qcom
devm_pwm_get	0x4652ee82	0x39b2057b	msm_drm
devm_qcom_smem_state_get	0x333db131	0x333db131	qcom_q6v5;qcom_q6v5_pas
devm_regmap_add_irq_chip	0x43b09c08	0x43b09c08	input_cs40l26_i2c;snd_soc_cs35l45_i2c;wcd_core_dlkm
devm_regmap_del_irq_chip	0xecd67b48	0xecd67b48	wcd_core_dlkm
devm_regulator_bulk_get	0x796de6ef	0x41ca9083	input_cs40l26_i2c;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c;wcd_core_dlkm;wcd_usbss_i2c
devm_regulator_get	0x12d1b352	0x9c0b15a9	camera;coresight_hwevent;coresight_tpdm;dwc3_msm;i3c_master_msm_geni;lpass_cdc_va_macro_dlkm;max31760_fan;msm_drm;msm_kgsl;msm_lmh_dcvs;msm_video;pci_msm_drv;phy_generic;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;qcom_pm8008_regulator;qcom_q6v5_pas;qcom_spss;repeater_i2c_eusb2;sdhci_msm_sec;sec_common_fn;swr_haptics_dlkm;ubwcp
devm_regulator_get_enable_optional	0x85886f4b	0x779d7db6	at803x
devm_regulator_get_exclusive	0x881c7bc4	0xb8fa0cb7	phy_generic
devm_regulator_get_optional	0x8bd4129a	0xd85c8875	cnss2;dwc3_msm;nb7vpq904m;pci_msm_drv;phy_msm_ssusb_qmp;qcom_q6v5_pas;snvm;snvm_plat
devm_regulator_put	0xe91adbb5	0xba8b5aa7	cnss2;msm_drm
devm_regulator_register	0x78d8ab06	0x4e3906b6	at803x;qcom_pm8008_regulator;qpnp_amoled_regulator;qpnp_lcdb_regulator;qti_fixed_regulator;s2dos05_regulator;s2dos07;s2mpb02_regulator;s2mpb03
devm_regulator_register_notifier	0x2089c37d	0x569a3be6	msm_kgsl;nfc_nxp_sec;qcom_pm8008_regulator
devm_request_any_context_irq	0xf62dc15f	0xf62dc15f	fingerprint
devm_request_threaded_irq	0x0570ef04	0x0570ef04	bam_dma;camera;coresight_tmc;dwc3_msm;eud;fingerprint;gsim;i2c_msm_geni;i3c_master_msm_geni;input_cs40l26_i2c;ipam;ipclite;leds_qti_flash;msm_drm;msm_geni_serial;msm_kgsl;msm_lmh_dcvs;msm_video;pci_msm_drv;phy_generic;pm8941_pwrkey;qca_cld3_kiwi_v2;qcom_edac;qcom_glink;qcom_pm8008_regulator;qcom_q6v5;qcom_smd;qcom_spmi_temp_alarm;qcom_spmi_wled;qcom_spss;qcom_sysmon;qpnp_lcdb_regulator;qti_amoled_ecm;qti_ocp_notifier;sdhci_msm_sec;slim_qcom_ngd_ctrl;smp2p;smp2p_sleepstate;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c;spi_msm_geni;stm_ts_spi;synaptics_ts_spi;ubwcp;wcd_core_dlkm;wcd_usbss_i2c;wez02
devm_snd_soc_register_card	0x95ca8c34	0x95ca8c34	machine_dlkm
devm_snd_soc_register_component	0xc5ff76a4	0xc5ff76a4	snd_soc_cs35l45_i2c;snd_soc_hdmi_codec
