# Samsung SM-S928B (e3q) vendor-DLKM KMI CRC baseline
# Firmware: S928BXXS6DZG1; kernel: 6.1.145-android14-11-33419968-abS928BXXS6DZG1
# Captured over rooted ADB on 2026-08-09 from 351 persistent vendor_dlkm modules.
# Includes kernel-KMI imports present in Android 14/6.1 2025-09 ABI lists.
# Device audit: 0 kernel CRC conflicts; 0 DLKM export conflicts; 0 importer/provider mismatches.
# symbol	crc	modules
__const_udelay	0xeae3dfd6	cnss2;coresight;coresight_tmc;dwc3_msm;eud;frpc_adsprpc;i2c_msm_geni;i3c_master_msm_geni;ipam;ipclite_test;leds_qti_flash;mhi;msm_drm;msm_geni_serial;msm_gpi;msm_kgsl;nb7vpq904m;pci_msm_drv;pdic_max77705;phy_msm_snps_eusb2;qca_cld3_kiwi_v2;qce50_dlkm;qcom_q6v5_pas;qcom_stats;qrng_dlkm;sdhci_msm_sec;smsc75xx;smsc95xx;spi_msm_geni;spmi_pmic_arb_debug;ubwcp;wcd938x_dlkm;wcd939x_dlkm;wez02
__copy_overflow	0x7682ba4e	camera;ipam;kperfmon;msm_drm;msm_hw_fence;pdic_notifier_module;qca_cld3_kiwi_v2;radio_i2c_rtc6226_qca;sec_battery;sg;spcom;swr_ctrl_dlkm;synx_driver;wcd938x_slave_dlkm;wcd939x_slave_dlkm;wsa883x_dlkm;wsa884x_dlkm
__cpu_active_mask	0x15db3b99	qcom_lpm
__cpu_online_mask	0xac594e02	bam_dma;bwmon;bwprof;camera;cfg80211;cpucp_log;frpc_adsprpc;glink_probe;gsim;hwmon;i2c_msm_geni;i3c_master_msm_geni;ipam;mac80211;memlat;msm_drm;msm_geni_serial;msm_kgsl;msm_memshare;msm_performance;msm_video;qca_cld3_kiwi_v2;qcom_lpm;qcom_q6v5;qcom_q6v5_pas;qcom_sysmon;qsee_ipc_irq_bridge;rmnet_core;rmnet_shs;rproc_qcom_common;slim_qcom_ngd_ctrl;smcinvoke_dlkm;spi_msm_geni;ssg;ubwcp
__cpu_possible_mask	0xde7ece30	blk_sec_stats;c1dcvs_scmi_v2;core_hang_detect;cpu_voltage_cooling;cpufreq_limit;frpc_adsprpc;gh_rm_booster;mac80211;machine_dlkm;memlat;msm_drm;msm_eva;msm_lmh_dcvs;msm_performance;qca_cld3_kiwi_v2;qcom_cpuss_sleep_stats;qcom_glink;qcom_lpm;qti_cpufreq_cdev;rmnet_core;rmnet_shs;sdhci_msm_sec;ssg;stm_ftrace
__cpu_present_mask	0xb3055449	coresight;msm_performance;qca_cld3_kiwi_v2;sec_qc_hw_param
__cpuhp_remove_state	0x82d7e59a	coresight_cti;qca_cld3_kiwi_v2;qti_cpufreq_cdev
__cpuhp_setup_state	0x4d01ac5c	qca_cld3_kiwi_v2;qcom_lpm;qti_cpufreq_cdev
__cpuhp_setup_state_cpuslocked	0x9ac0587f	coresight_cti;msm_performance
__crypto_memneq	0x5a44f8cb	mac80211
__crypto_xor	0xa3f12f69	mac80211
__dev_change_net_namespace	0x80432a75	cfg80211
__dev_get_by_index	0xecfcb475	cfg80211;rmnet_core;rmnet_perf_tether
__dev_kfree_skb_any	0x28b967c1	dev_ril_bridge;ipam;mac80211;qca_cld3_kiwi_v2;rmnet_core;smsc75xx;smsc95xx;usb_f_gsi;wonder
__dev_queue_xmit	0xf4b25665	delayed_sack;mac80211;rmnet_core;rmnet_wlan;wonder
__devm_iio_device_register	0x7930d674	qcom_spmi_adc5_gen3
__devm_irq_alloc_descs	0x15defecf	mfd_max77775;mfd_s2mpb02
__devm_regmap_init	0x78d75b61	lpass_cdc_dlkm;swr_dlkm;wcd_usbss_i2c
__devm_regmap_init_i2c	0x1bab1211	input_cs40l26_i2c;nb7vpq904m;pca9481_charger;repeater_i2c_eusb2;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c
__devm_regmap_init_mmio_clk	0x6820f16e	llcc_qcom
__devm_request_region	0xdd83e5af	dmesg_dumper;gh_panic_notifier
__devm_reset_control_get	0xb86f1eec	dwc3_msm;msm_eva;msm_video;pci_msm_drv;phy_msm_snps_eusb2;phy_msm_ssusb_qmp;sdhci_msm_sec
__devres_alloc_node	0xb77e7bf8	hwmon;lcd;reboot_mode;repeater
__drm_atomic_helper_connector_destroy_state	0x3866cd2b	msm_drm
__drm_atomic_helper_connector_duplicate_state	0x54872645	msm_drm
__drm_atomic_helper_connector_reset	0x29764194	msm_drm
__drm_atomic_helper_crtc_destroy_state	0xab75bef4	msm_drm
__drm_atomic_helper_crtc_duplicate_state	0x64c68dc3	msm_drm
__drm_atomic_helper_plane_duplicate_state	0x26fab918	msm_drm
__drm_atomic_helper_private_obj_duplicate_state	0xa4f72029	drm_display_helper;msm_drm
__drm_atomic_state_free	0xb9cad492	msm_drm
__drm_crtc_commit_free	0xae277372	drm_display_helper
__drm_debug	0x69353664	drm_display_helper;msm_drm
__drm_dev_dbg	0x065ad6d0	drm_display_helper;msm_drm
__drm_err	0xb11ac7a7	drm_display_helper;lt9611uxc;msm_drm
__drm_printfn_coredump	0xea00fe81	msm_drm
__drm_printfn_debug	0xf824c7db	drm_display_helper
__drm_puts_coredump	0x3b0e5e9c	msm_drm
__flush_workqueue	0x9166fc03	camera;cdsprm;dwc3_msm;gsim;ipam;mac80211;msm_drm;msm_eva;msm_geni_serial;msm_kgsl;pci_msm_drv;qca_cld3_kiwi_v2;qcom_q6v5_pas;radio_i2c_rtc6226_qca;rmnet_core;sec_battery;sec_common_fn;snd_soc_cs35l45_i2c;snd_usb_audio_qmi;synx_driver;usb_f_qdss;usb_notify_layer
__folio_put	0x2c38db08	msm_kgsl;qca_cld3_kiwi_v2;rmnet_core;rmnet_mem
__free_pages	0xcd5271aa	camera;coresight_tmc;ipam;msm_drm;msm_kgsl;qcom_iommu_debug;sec_rdx_bootdev;sg
__genphy_config_aneg	0xcdd0498d	at803x;smsc
__get_free_pages	0x6a5cb5ee	qcom_iommu_debug
__get_task_comm	0x9d01eb28	msm_kgsl;stm_core;sync_fence
__hrtimer_get_remaining	0xed269ad2	qcom_lpm;rmnet_wlan
__hw_addr_init	0xf28cf0ae	mac80211
__hw_addr_sync	0x91f68ea1	mac80211
__hw_addr_unsync	0xb71ed69f	mac80211
__hwspin_lock_timeout	0xaf73026c	ipclite;synx_driver
__hwspin_unlock	0x7a43a485	ipclite;synx_driver
__inet_lookup_established	0x63c135e0	rmnet_perf
__inet6_lookup_established	0x7f82e930	rmnet_perf
__init_rwsem	0xf5a94b83	common_muic;lpass_cdc_dlkm;msm_drm;pdic_notifier_module;qcom_stats;sb_core;usb_notify_layer;usb_typec_manager;wcd938x_dlkm;wcd939x_dlkm
__init_swait_queue_head	0x608741b5	adsp_sleepmon;camera;cdsprm;cnss2;cnss_plat_ipc_qmi_svc;dmesg_dumper;frpc_adsprpc;glink_pkt;gsim;i2c_msm_geni;i3c_master_msm_geni;input_cs40l26_i2c;ipam;mbhc_dlkm;mfd_max77705;mfd_max77775;mhi;mhi_dev_satellite;msm_drm;msm_eva;msm_geni_serial;msm_gpi;msm_kgsl;msm_mmrm;msm_video;pci_msm_drv;pdic_max77705;pdic_max77775;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_glink;qcom_iommu_debug;qcom_q6v5;qcom_q6v5_pas;qcom_ramdump;qcom_spmi_adc5_gen3;qcom_spss;qcom_sysmon;qcrypto_msm_dlkm;qmi_helpers;qrtr_mhi;radio_i2c_rtc6226_qca;rdbg;sec_common_fn;slim_qcom_ngd_ctrl;slimbus;snd_soc_cs35l45_i2c;spcom;spi_msm_geni;spss_utils;stm_ts_spi;swr_ctrl_dlkm;synaptics_ts_spi;usb_f_qdss;usb_notify_layer;wez02
__init_waitqueue_head	0xd9a5ea54	audio_pkt_dlkm;audio_prm_dlkm;camera;cfg80211;coresight_tmc;dev_ril_bridge;drm_display_helper;fingerprint;frpc_adsprpc;glink_pkt;ipam;ipclite_test;lt9611uxc;mbhc_dlkm;mfd_max77775;mhi;mhi_dev_uci;msm_drm;msm_eva;msm_hw_fence;msm_kgsl;nfc_nxp_sec;pdic_max77705;pdic_max77775;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_glink;qcom_smd;qsee_ipc_irq_bridge;qseecom_dlkm;radio_i2c_rtc6226_qca;sdhci_msm_sec;sec_battery;sec_vibrator_inputff_module;sg;smcinvoke_dlkm;snd_usb_audio_qmi;spf_core_dlkm;stmvl53l8;swr_ctrl_dlkm;sync_fence;synx_driver;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;usb_notify_layer;uwb
__ioread32_copy	0x3801776b	qcom_smd
__iowrite32_copy	0x2dba276a	qcom_smd
__ipv6_addr_type	0x0d542439	qca_cld3_kiwi_v2
__irq_alloc_descs	0x95238b2a	mfd_max77705
__irq_apply_affinity_hint	0x51786ad8	qca_cld3_kiwi_v2;qcom_glink;sdhci_msm_sec
__irq_domain_add	0x75aecb8b	msm_drm;pci_msm_drv;smp2p;smsc95xx;wcd_core_dlkm
__irq_domain_alloc_fwnode	0xdc739bfc	smsc95xx
__irq_resolve_mapping	0xcb7ab12a	msm_drm;pci_msm_drv;smp2p;smsc95xx;swr_ctrl_dlkm;wcd_core_dlkm
__kfifo_alloc	0x139f2189	radio_i2c_rtc6226_qca;sec_common_fn
__kfifo_free	0xdb760f52	sec_common_fn
__kfifo_in	0xf23fcb99	hvc_gunyah;radio_i2c_rtc6226_qca;sec_common_fn;usb_f_conn_gadget
__kfifo_init	0xbd462b55	usb_f_conn_gadget
__kfifo_out	0x13d0adf7	hvc_gunyah;radio_i2c_rtc6226_qca;sec_common_fn
__kfifo_to_user	0x72aa63ef	usb_f_conn_gadget
__kfree_skb	0x7bb0184e	dropdump
__kmalloc	0xeb233a45	adsp_factory_module;bam_dma;bt_fm_slim;btpower;c1dcvs_scmi_v2;camera;cdsprm;cfg80211;cl_dsp;cl_dsp_debugfs;cnss2;cnss_prealloc;coresight;coresight_cti;coresight_tmc;cpu_voltage_cooling;cpucp_log;cpufreq_stats_scmi_v2;cs_dsp;dev_ril_bridge;drm_display_helper;dwc3_msm;flicker_sensor;frpc_adsprpc;gh_tlmm_vm_mem_access;hwmon;i2c_msm_geni;input_booster_lkm;input_cs40l26_i2c;ipam;ipclite;ipclite_test;kperfmon;lt9611uxc;mac80211;machine_dlkm;max77705_fuelgauge;max77775_fuelgauge;mfd_s2mpb02;mhi;mhi_dev_satellite;mhi_dev_uci;msm_drm;msm_eva;msm_gpi;msm_hw_fence;msm_kgsl;msm_memshare;msm_mmrm;msm_performance;msm_sysstats;nu1668_charger;pci_msm_drv;pdic_max77705;pdic_max77775;pdic_notifier_module;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qcom_glink;qcom_smd;qcrypto_msm_dlkm;qmi_helpers;qrtr_smd;qseecom_dlkm;qti_cpufreq_cdev;qti_devfreq_cdev;radio_i2c_rtc6226_qca;rdbg;rmnet_shs;rmnet_wlan;sb_core;sdhci_msm_sec;sec_battery;sec_common_fn;sec_qc_hw_param;sg;slimbus;smcinvoke_dlkm;snd_soc_cirrus_amp;snd_soc_cs35l43_i2c;snd_soc_cs35l45_i2c;snd_soc_wm_adsp;snd_usb_audio_qmi;snvm;spcom;sps_drv;ssg;stm_core;stm_ts_spi;stmvl53l8;swr_ctrl_dlkm;swr_dlkm;swr_dmic_dlkm;synaptics_ts_spi;sync_fence;synx_driver;sys_pm_vx;thermal_config;tz_log_dlkm;usb_f_conn_gadget;usb_f_gsi;usb_notify_layer;vibrator_vib_info;wcd938x_dlkm;wcd939x_dlkm;wcd_usbss_i2c;wez02;wsa884x_dlkm
__kthread_init_worker	0x6f02eb42	msm_drm;qcom_glink;sec_vibrator_inputff_module
__list_add_valid	0x68f31cbd	audpkt_ion_dlkm;bam_dma;blk_sec_stats;bwmon;bwprof;camera;cdsprm;cfg80211;cl_dsp;cnss2;coresight;coresight_csr;coresight_cti;coresight_remote_etm;cpu_voltage_cooling;cpucp_log;cs_dsp;drm_display_helper;dropdump;dwc3_msm;frpc_adsprpc;glink_probe;hall_ic;health_monitor;hwmon;input_booster_lkm;input_cs40l26_i2c;ipam;kperfmon;lt9611uxc;mac80211;mhi;mhi_dev_satellite;mhi_dev_uci;msm_drm;msm_eva;msm_ext_display;msm_gpi;msm_hw_fence;msm_kgsl;msm_lmh_dcvs;msm_mmrm;msm_video;nfc_nxp_sec;pci_msm_drv;pdr_interface;q6_notifier_dlkm;qca_cld3_kiwi_v2;qce50_dlkm;qcedev_mod_dlkm;qcom_cpuss_sleep_stats;qcom_glink;qcom_lpm;qcom_ramdump;qcom_smd;qcom_spmi_adc5_gen3;qcom_sysmon;qcrypto_msm_dlkm;qfs4008_spidev;qmi_helpers;qsee_ipc_irq_bridge;qseecom_dlkm;qti_cpufreq_cdev;qti_qmi_cdev;qti_qmi_sensor_v2;qti_qmi_ss_cdev;reboot_mode;redriver;repeater;rmnet_aps;rmnet_core;rmnet_mem;rmnet_offload;rmnet_perf_tether;rmnet_shs;rmnet_wlan;rproc_qcom_common;sb_core;sec_battery;sec_common_fn;sg;slimbus;smcinvoke_dlkm;smp2p;snd_event_dlkm;snd_soc_cs35l43_i2c;snd_soc_wm_adsp;snd_usb_audio_qmi;snvm;spcom;sps_drv;ssg;stm_core;stm_ts_spi;stmvl53l8;swr_ctrl_dlkm;swr_dlkm;synaptics_ts_spi;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;usb_f_qdss;uwb
__list_del_entry_valid	0xe1537255	audpkt_ion_dlkm;bam_dma;blk_sec_stats;bwmon;camera;cdsprm;cfg80211;cl_dsp;cnss2;coresight;coresight_csr;coresight_cti;coresight_remote_etm;cpu_voltage_cooling;cpucp_log;cs_dsp;drm_display_helper;dropdump;dwc3_msm;frpc_adsprpc;glink_probe;health_monitor;hwmon;input_booster_lkm;input_cs40l26_i2c;ipam;lt9611uxc;mac80211;mhi;mhi_dev_satellite;mhi_dev_uci;msm_drm;msm_eva;msm_ext_display;msm_gpi;msm_kgsl;msm_mmrm;msm_video;pci_msm_drv;pdr_interface;q6_notifier_dlkm;qca_cld3_kiwi_v2;qce50_dlkm;qcedev_mod_dlkm;qcom_glink;qcom_smd;qcom_spmi_adc5_gen3;qcom_sysmon;qcrypto_msm_dlkm;qfs4008_spidev;qmi_helpers;qsee_ipc_irq_bridge;qseecom_dlkm;qti_qmi_cdev;qti_qmi_sensor_v2;qti_qmi_ss_cdev;redriver;repeater;rmnet_aps;rmnet_core;rmnet_mem;rmnet_offload;rmnet_perf_tether;rmnet_shs;rmnet_wlan;rproc_qcom_common;sb_core;sec_battery;sec_common_fn;sg;slimbus;smcinvoke_dlkm;smp2p;snd_event_dlkm;snd_soc_wm_adsp;snd_usb_audio_qmi;spcom;sps_drv;ssg;stm_core;swr_ctrl_dlkm;swr_dlkm;sync_fence;synx_driver;ubwcp;usb_f_ccid;usb_f_cdev;usb_f_conn_gadget;usb_f_gsi;usb_f_qdss
__local_bh_enable_ip	0x3c3fce39	mac80211;qca_cld3_kiwi_v2;qcrypto_msm_dlkm;rmnet_core;rmnet_mem;rmnet_shs;wonder
__mdiobus_read	0xa3d576c4	at803x
__mdiobus_register	0xa19883f4	smsc95xx
__media_device_register	0xd1732581	camera;msm_video
__memcat_p	0xd64ed259	stm_core
__memcpy_fromio	0x5d112304	camera;cpucp_log;ipclite;msm_drm;msm_kgsl;pci_msm_drv;qcom_glink_smem;qcom_glink_spss;qcom_pil_info;qcom_q6v5_pas;qcom_ramdump;qcom_smd;qcom_stats;rproc_qcom_common;slimbus;tz_log_dlkm
__memcpy_toio	0xf77555cd	camera;dwc3_msm;msm_kgsl;pci_msm_drv;qca_cld3_kiwi_v2;qcom_pil_info;qcom_smd;slim_qcom_ngd_ctrl
__memset_io	0x18b48e28	bam_dma;camera;mhi;msm_hw_fence;pci_msm_drv;qca_cld3_kiwi_v2;qcom_pil_info;slim_qcom_ngd_ctrl;sps_drv
__mmap_lock_do_trace_acquire_returned	0x5319be0e	glink_pkt;msm_kgsl
__mmap_lock_do_trace_released	0xb996c292	glink_pkt;msm_kgsl
__mmap_lock_do_trace_start_locking	0x56ac7b18	glink_pkt;msm_kgsl
__mmc_poll_for_busy	0x794b526a	sdhci_msm_sec
__module_get	0x82f3eefb	sg
__msecs_to_jiffies	0x7f02188f	blk_sec_stats;blk_sec_wb;camera;cfg80211;cnss2;dwc3_msm;glink_pkt;gsim;hall_ic;health_monitor;input_booster_lkm;input_cs40l26_i2c;ipam;lpass_cdc_tx_macro_dlkm;lpass_cdc_va_macro_dlkm;mac80211;max77705_charger;mhi;mhi_dev_satellite;msm_drm;msm_eva;msm_gpi;msm_hw_fence;msm_kgsl;msm_video;nfc_nxp_sec;nu1668_charger;pca9481_charger;pci_msm_drv;pdic_max77775;qca_cld3_kiwi_v2;qcedev_mod_dlkm;qti_amoled_ecm;rmnet_core;rmnet_shs;s2dos05_regulator;sec_battery;sec_direct_charger;sec_vibrator_inputff_module;sg;slimbus;snd_soc_cirrus_amp;spcom;spf_core_dlkm;spi_msm_geni;spss_utils;ssg;synaptics_ts_spi;sync_fence;synx_driver;usb_f_gsi;usb_typec_manager
